explainer,budget,harmful,recovery_rate,exec_time
attention,0.1,0.0,0.10208333333333332,0.06904825210571285
attention,0.15,0.0,0.1754166666666666,0.06904825210571285
attention,0.2,0.01,0.22208333333333333,0.06904825210571285
attention,0.25,0.02,0.255,0.06904825210571285
attention,0.3,0.01,0.2775,0.06904825210571285
attention,0.35,0.07,0.32416666666666666,0.06904825210571285
attention,0.4,0.12,0.37,0.06904825210571285
attention,0.45,0.11,0.4225,0.06904825210571285
attention,0.5,0.17,0.4741666666666666,0.06904825210571285
attention,0.6,0.28,0.5645833333333333,0.06904825210571285
attention,0.7,0.36,0.64125,0.06904825210571285
attention,0.8,0.07,0.72,0.06904825210571285
attention,0.9,0.2,0.83875,0.06904825210571285
random,0.1,0.01,0.1466666666666666,0.0
random,0.15,0.02,0.23166666666666663,0.0
random,0.2,0.04,0.31625,0.0
random,0.25,0.03,0.40041666666666664,0.0
random,0.3,0.02,0.48208333333333336,0.0
random,0.35,0.02,0.565,0.0
random,0.4,0.02,0.65,0.0
random,0.45,0.04,0.7329166666666667,0.0
random,0.5,0.03,0.8229166666666667,0.0
random,0.6,0.07,0.9558333333333333,0.0
random,0.7,0.17,0.9975,0.0
random,0.8,0.35,1.0,0.0
random,0.9,0.53,1.0,0.0
shap,0.1,0.03,0.10666666666666665,3.3674247574806215
shap,0.15,0.02,0.16208333333333327,3.3674247574806215
shap,0.2,0.03,0.20749999999999996,3.3674247574806215
shap,0.25,0.04,0.2558333333333333,3.3674247574806215
shap,0.3,0.02,0.3045833333333333,3.3674247574806215
shap,0.35,0.04,0.35041666666666665,3.3674247574806215
shap,0.4,0.06,0.38916666666666666,3.3674247574806215
shap,0.45,0.05,0.42833333333333334,3.3674247574806215
shap,0.5,0.07,0.4741666666666666,3.3674247574806215
shap,0.6,0.09,0.5541666666666667,3.3674247574806215
shap,0.7,0.11,0.6445833333333333,3.3674247574806215
shap,0.8,0.27,0.7445833333333333,3.3674247574806215
shap,0.9,0.53,0.86,3.3674247574806215
